proyecto_id;titulo;fecha_inicio;fecha_finalizacion;monto_financiado_solicitado;monto_financiado_adjudicado;cantidad_miembros_F;cantidad_miembros_M;cantidad_miembros_S/D;area;subarea;tipo_proyecto
20215;Nuevo método para purificación de IgGs basado en nanoanticuerpos derivados de camélidos;11/11/16;11/2/17;7200000;7200000;4;1;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
20218;Desarrollo de un proceso a escala piloto para la obtención de un aceite de algas rico en Omega-3 para su uso como aditivo en la preparación de alimentos funcionales;26/9/16;26/12/16;7150000;7150000;1;7;0;INGENIERÍAS Y TECNOLOGÍAS;SIN DATOS;Ciencia
20221;OBTENCION DE NANOFARMACOS COMBINANDO COMPUESTOS DE BASE GENETICA Y QUIMICA;19/10/16;19/1/17;7200000;7200000;3;2;0;CIENCIAS MÉDICAS Y DE LA SALUD;SIN DATOS;Ciencia
22383;Nuevo método para purificación de IgGs basado en nanoanticuerpos derivados de camélidos;11/11/16;11/2/17;6000000;6000000;4;1;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;SIN DATOS
22388;Propiedades Mecánicas de Materiales Biológicos;22/11/16;22/1/17;1040000;1040000;0;5;0;INGENIERÍAS Y TECNOLOGÍAS;SIN DATOS;SIN DATOS
22397;Estudio de procesos de mecanizado nano-escala;25/11/16;25/5/19;1300000;1300000;2;5;0;INGENIERÍAS Y TECNOLOGÍAS;SIN DATOS;SIN DATOS
22398;La historiografía de la cultura literaria latinoamericana a través de las redes intelectuales;25/11/16;25/2/17;3750000;3750000;1;5;0;HUMANIDADES;SIN DATOS;SIN DATOS
22405;Implicancia de las células madre tumorales en la resistencia a la terapia fotodinámica;11/11/16;11/1/17;2600000;2600000;3;1;0;SIN DATOS;SIN DATOS;SIN DATOS
22407;Regulación de la vía Hippo y la diferenciación de células madre mesenquimales adultas por la familia de proteínas 14-3-3;23/3/16;29/6/19;3000000;3000000;4;1;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;SIN DATOS
22408;Género y procesos histórico - sociales: agencias, sentimientos y representaciones;15/1/16;15/4/16;3750000;3750000;24;1;0;HUMANIDADES;SIN DATOS;SIN DATOS
22411;Empleo de sistemas confinados en beneficio del medio ambiente y la salud. Reacciones de catálisis enzimática, estudio de permeab;11/11/16;11/2/17;3000000;3000000;3;5;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;SIN DATOS
22416;BIO-NANOMATERIALES SORBENTES APLICADOS AL DESARROLLO DE MÉTODOS ANALÍTICOS AUTOMATIZADOS DE ALTA SENSIBILIDAD PARA LA DETERMINAC;25/11/16;25/5/19;1300000;1300000;7;6;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;SIN DATOS
22418;Análisis y reconocimiento  de comportamiento malicioso en grandes volúmenes de tráfico de red;25/11/16;25/2/17;3000000;3000000;2;11;0;SIN DATOS;SIN DATOS;SIN DATOS
22424;Producción de colorantes naturales de origen vegetal para la industria alimenticia;25/11/16;25/2/17;2980000;2980000;4;4;0;CIENCIAS AGRÍCOLAS;SIN DATOS;SIN DATOS
22426;Análisis matemático en el grupo de Heisenberg con extensiones a grupos generales de Carnot;25/11/16;25/5/19;1300000;1300000;2;3;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;SIN DATOS
22437;Expresiones de la dominación incaica en el sector central de la Quebrada de Humahuaca (Jujuy, Argentina). Análisis de las materi;28/12/16;28/2/17;1260000;1260000;2;5;0;HUMANIDADES;SIN DATOS;SIN DATOS
22461;Pastores en el Límite Sur del Área Andina. Osteometría de Camélidos en Diferentes Ecozonas de San Juan, Mendoza y Chile Central;25/11/16;25/5/19;650000;650000;3;3;0;HUMANIDADES;SIN DATOS;SIN DATOS
19476;Sistema agroforestal con especies nativas para la restauración de los suelos, la biodiversidad y los servicios ecosistémicos del Caldenal;7/10/16;7/1/17;5000000;5000000;4;11;0;CIENCIAS AGRÍCOLAS;SIN DATOS;Ciencia
19477;Forrajeras nativas para sistemas silvopastoriles del Parque Chaqueño argentino;7/10/16;7/1/17;4989990;4989990;5;8;0;CIENCIAS AGRÍCOLAS;SIN DATOS;Ciencia
19478;Estudio interdisciplinario de una especie de alto valor forestal en el Parque Chaqueño semiárdo: herramientas para el ordenamiento territorial, conservación y manejo del palo santo (Bulnesia sarmientoi).;18/11/16;18/2/17;4595000;4595000;14;9;0;CIENCIAS AGRÍCOLAS;SIN DATOS;Ciencia
19479;Conservación del bosque nativo y manejo productivo de ecosistemas forestales y silvopastoriles en la Región Chaqueña: un enfoque funcional a diferentes escalas;18/11/16;18/2/17;4915000;4915000;7;6;0;CIENCIAS AGRÍCOLAS;SIN DATOS;Ciencia
19480;Bosques nativos, servicios ecosistémicos y bienestar humano en el Norte del Chaco Seco Argentino: un abordaje interdisciplinar de la vulnerabilidad y los conflictos socio-ecológicos;7/10/16;7/1/17;2785000;2785000;6;5;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
19481;Sustentabilidad y salud ecosistémica del Chaco seco argentino;7/10/16;7/12/16;5000000;5000000;6;12;0;INGENIERÍAS Y TECNOLOGÍAS;SIN DATOS;Ciencia
19482;Modelo de Estados y Transiciones como herramienta para el manejo sustentable de bosques nativos del Noroeste de Córdoba: Determinación de umbrales y sus indicadores;18/11/16;18/2/17;4560000;4560000;3;13;0;CIENCIAS AGRÍCOLAS;SIN DATOS;Ciencia
