ID,Fecha de Inicio
17894,2/3/15
17924,2/3/15
17933,2/3/15
17935,2/3/15
17949,2/3/15
17954,2/3/15
17980,2/3/15
17982,2/3/15
17984,2/3/15
17993,2/3/15
18005,2/3/15
18017,2/3/15
18019,2/3/15
18051,2/3/15
18064,2/3/15
18065,2/3/15
18071,2/3/15
18080,2/3/15
18087,2/3/15
18088,2/3/15
18097,2/3/15
18098,2/3/15
18106,2/3/15
18107,2/3/15
18124,2/3/15
18135,2/3/15
18136,2/3/15
18139,2/3/15
18140,2/3/15
18146,2/3/15
18161,2/3/15
18162,2/3/15
18163,2/3/15
18164,2/3/15
18176,2/3/15
18203,2/3/15
18211,2/3/15
18244,2/3/15
18245,2/3/15
18254,2/3/15
18259,2/3/15
18267,2/3/15
18282,2/3/15
18289,2/3/15
18293,2/3/15
18296,2/3/15
18327,2/3/15
18337,2/3/15
18342,2/3/15
18348,2/3/15
18350,2/3/15
18356,2/3/15
18357,2/3/15
18369,2/3/15
18374,2/3/15
18408,2/3/15
18414,2/3/15
18415,2/3/15
18422,2/3/15
18424,2/3/15
18430,2/3/15
18433,2/3/15
18445,2/3/15
18460,2/3/15
18470,2/3/15
18471,2/3/15
18478,2/3/15
18494,2/3/15
18496,2/3/15
18500,2/3/15
18502,2/3/15
18506,2/3/15
18507,2/3/15
18516,2/3/15
18533,2/3/15
18534,2/3/15
18535,2/3/15
18542,2/3/15
18551,2/3/15
18556,2/3/15
18558,2/3/15
18569,2/3/15
18570,2/3/15
18572,2/3/15
18576,2/3/15
18581,2/3/15
18585,2/3/15
18590,2/3/15
21697,2/3/15
12826,2/3/15
10026,4/3/15
10027,4/3/15
10028,4/3/15
10167,4/3/15
23782,4/3/15
11006,4/3/15
12804,4/3/15
12813,4/3/15
12818,4/3/15
12829,4/3/15
12913,4/3/15
10165,5/3/15
6981,5/3/15
11004,5/3/15
10089,6/3/15
10801,6/3/15
651,6/3/15
669,6/3/15
1233,6/3/15
1244,6/3/15
3545,6/3/15
3569,6/3/15
4404,6/3/15
4479,6/3/15
4595,6/3/15
4735,6/3/15
4741,6/3/15
19315,6/3/15
10097,9/3/15
11395,9/3/15
3444,9/3/15
21380,10/3/15
23767,10/3/15
23775,10/3/15
10717,10/3/15
12821,10/3/15
57,10/3/15
10005,11/3/15
10006,11/3/15
10008,11/3/15
10009,11/3/15
11016,11/3/15
12812,11/3/15
6,11/3/15
13226,11/3/15
6999,12/3/15
11974,12/3/15
6852,13/3/15
6989,13/3/15
7008,13/3/15
12824,13/3/15
12827,13/3/15
12854,13/3/15
170,13/3/15
301,13/3/15
1482,13/3/15
3517,13/3/15
4483,13/3/15
4487,13/3/15
4614,13/3/15
4649,13/3/15
